activity_code,activity_text,automation_score,augmentation_score,ai_exposure_score
130104,Biking,0.05,0.05,0.05
130105,Playing billiards,0.05,0.05,0.05
130106,Boating,0.05,0.05,0.05
130107,Bowling,0.05,0.05,0.05
130108,"Climbing, spelunking, caving",0.05,0.05,0.05
130109,Dancing,0.05,0.05,0.05
130110,Participating in equestrian sports,0.05,0.05,0.05
130111,Fencing,0.05,0.05,0.05
130112,Fishing,0.05,0.05,0.05
130113,Playing football,0.05,0.05,0.05
130114,Golfing,0.05,0.05,0.05
130115,Doing gymnastics,0.05,0.05,0.05
130116,Hiking,0.05,0.05,0.05
130117,Playing hockey,0.05,0.05,0.05
130118,Hunting,0.05,0.05,0.05
130119,Participating in martial arts,0.05,0.05,0.05
130120,Playing racquet sports,0.05,0.05,0.05
130121,Participating in rodeo competitions,0.05,0.05,0.05
130122,Rollerblading,0.05,0.05,0.05
130123,Playing rugby,0.05,0.05,0.05
130124,Running,0.05,0.05,0.05
130125,"Skiing, ice skating, snowboarding",0.05,0.05,0.05
130126,Playing soccer,0.05,0.05,0.05
130127,Softball,0.05,0.05,0.05
130128,Using cardiovascular equipment,0.05,0.05,0.05
130129,Vehicle touring/racing,0.05,0.05,0.05
130130,Playing volleyball,0.05,0.05,0.05
130131,Walking,0.05,0.05,0.05
130132,Participating in water sports,0.05,0.05,0.05
130133,Weightlifting/strength training,0.05,0.05,0.05
130134,"Working out, unspecified",0.05,0.05,0.05
130135,Wrestling,0.05,0.05,0.05
130136,Doing yoga,0.05,0.05,0.05
130199,Playing sports n.e.c.*,0.05,0.05,0.05
130201,Watching aerobics,0.05,0.05,0.05
130202,Watching baseball,0.05,0.05,0.05
130203,Watching basketball,0.05,0.05,0.05
130204,Watching biking,0.05,0.05,0.05
130205,Watching billiards,0.05,0.05,0.05
130206,Watching boating,0.05,0.05,0.05
130207,Watching bowling,0.05,0.05,0.05
