activity_code,activity_text,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,participation_rate_unweighted_pp_post,participation_rate_unweighted_pp_pre,participation_rate_weighted_pp_post,participation_rate_weighted_pp_pre,positive_respondents_post,positive_respondents_pre,respondents_total_post,respondents_total_pre,weighted_participation_change_pp,unweighted_participation_change_pp
020999,"Household management, n.e.c.*",0.628,2.833324461652128,0.6,0.65,0.031928340907570005,0.041612425832348,0.023424462848457603,0.034760205834412,2.5,4.0,8108.5,9294.8,-0.011335742985954397,-0.009684084924777993
029999,"Household activities, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.10547236554462,0.206218775729374,0.076983118546815,0.21784828371302,8.5,19.6,8108.5,9294.8,-0.140865165166205,-0.100746410184754
030101,Physical care for hh children,0.05,-0.4785288964455661,0.05,0.05,11.83165800752508,15.376646663690797,12.246236290160615,12.993850009171046,957.5,1439.8,8108.5,9294.8,-0.747613719010431,-3.5449886561657173
030102,Reading to/with hh children,0.05,-0.4785288964455661,0.05,0.05,2.265367690682075,3.418167317580648,2.009744089194915,2.625621244644488,183.5,319.4,8108.5,9294.8,-0.615877155449573,-1.152799626898573
030103,"Playing with hh children, not sports",0.05,-0.4785288964455661,0.05,0.05,4.751552034203176,6.161058563651197,4.8398114520443904,5.064216052147733,384.5,575.0,8108.5,9294.8,-0.22440460010334284,-1.4095065294480218
030104,Arts and crafts with hh children,0.05,-0.4785288964455661,0.05,0.05,0.19004459976057497,0.18083498107045598,0.23294430828747,0.121438460012622,15.5,17.0,8108.5,9294.8,0.11150584827484801,0.009209618690118992
030105,Playing sports with hh children,0.05,-0.4785288964455661,0.05,0.05,0.359373647120355,0.43204708212709,0.361287416179615,0.332491754028588,29.0,40.0,8108.5,9294.8,0.028795662151027024,-0.07267343500673495
030108,Organization & planning for hh children,0.05,-0.4785288964455661,0.05,0.05,1.0115825260318752,1.112093924445734,1.10939180478925,0.944570001600494,82.0,104.4,8108.5,9294.8,0.16482180318875594,-0.10051139841385881
030109,Looking after hh children (as a primary activity),0.05,-0.4785288964455661,0.05,0.05,1.508842734055075,2.514495724794228,1.451298735994065,2.075160998717582,122.5,238.6,8108.5,9294.8,-0.6238622627235169,-1.005652990739153
030110,Attending hh children's events,0.05,-0.4785288964455661,0.05,0.05,1.2790091717726848,1.44786197077007,1.349938537982025,1.0952760157089059,104.0,135.6,8108.5,9294.8,0.25466252227311914,-0.16885279899738515
030111,Waiting for/with hh children,0.05,-0.4785288964455661,0.05,0.05,1.17506225191295,1.842104470174218,1.591887881273685,1.9757349834515943,95.0,172.4,8108.5,9294.8,-0.3838471021779093,-0.6670422182612679
030112,Picking up/dropping off hh children,0.05,-0.4785288964455661,0.05,0.05,5.3021265689132555,6.980524349427007,6.962779522160815,7.289465869034967,429.5,655.2,8108.5,9294.8,-0.3266863468741521,-1.6783977805137518
030186,Talking with/listening to hh children,0.05,-0.4785288964455661,0.05,0.05,1.8075272873249548,2.8196105832326976,2.0343952543308,2.574626088796466,147.0,264.8,8108.5,9294.8,-0.5402308344656661,-1.0120832959077428
030199,"Caring for & helping hh children, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.148428916031105,0.18520839917709,0.182124515415445,0.143809423882572,12.0,17.4,8108.5,9294.8,0.03831509153287299,-0.036779483145985004
030201,Homework (hh children),0.733,3.4349587222062072,0.65,0.8,1.422745054154235,2.219790259863244,1.69731095234061,2.3096876459694218,116.0,209.2,8108.5,9294.8,-0.6123766936288118,-0.7970452057090089
030202,Meetings and school conferences (hh children),0.598,2.6614289586366766,0.35,0.8,0.07421445801555,0.20158075305526202,0.10588693146052999,0.223164559759886,6.0,19.2,8108.5,9294.8,-0.11727762829935601,-0.12736629503971203
030203,Home schooling of hh children,0.598,2.6614289586366766,0.35,0.8,0.15561910426683,0.25114006704693803,0.18180209302863498,0.254666240321452,12.5,23.0,8108.5,9294.8,-0.07286414729281704,-0.09552096278010802
030204,Waiting associated with hh children's education,0.598,2.6614289586366766,0.35,0.8,0.0,0.023760066983896,0.0,0.03855314227992,0.0,2.2,8108.5,9294.8,-0.03855314227992,-0.023760066983896
030299,"Activities related to hh child's education, n.e.c.*",0.598,2.6614289586366766,0.35,0.8,0.06702426977982001,0.083915855474684,0.05228531074539,0.06839210387104601,5.5,7.8,8108.5,9294.8,-0.016106793125656008,-0.016891585694863986
