activity_code,activity_text,period,participation_rate_weighted_pp,participation_rate_unweighted_pp,positive_respondents,respondents_total,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,post_2023plus,ai_exposure_x_post,ai_exposure_z_x_post
030201,Homework (hh children),post,1.69731095234061,1.422745054154235,116.0,8108.5,0.733,3.4349587222062072,0.65,0.8,1.0,0.733,3.4349587222062072
030201,Homework (hh children),pre,2.3096876459694218,2.219790259863244,209.2,9294.8,0.733,3.4349587222062072,0.65,0.8,0.0,0.0,0.0
030202,Meetings and school conferences (hh children),post,0.10588693146052999,0.07421445801555,6.0,8108.5,0.598,2.6614289586366766,0.35,0.8,1.0,0.598,2.6614289586366766
030202,Meetings and school conferences (hh children),pre,0.223164559759886,0.20158075305526202,19.2,9294.8,0.598,2.6614289586366766,0.35,0.8,0.0,0.0,0.0
030203,Home schooling of hh children,post,0.18180209302863498,0.15561910426683,12.5,8108.5,0.598,2.6614289586366766,0.35,0.8,1.0,0.598,2.6614289586366766
030203,Home schooling of hh children,pre,0.254666240321452,0.25114006704693803,23.0,9294.8,0.598,2.6614289586366766,0.35,0.8,0.0,0.0,0.0
030204,Waiting associated with hh children's education,post,0.0,0.0,0.0,8108.5,0.598,2.6614289586366766,0.35,0.8,1.0,0.598,2.6614289586366766
030204,Waiting associated with hh children's education,pre,0.03855314227992,0.023760066983896,2.2,9294.8,0.598,2.6614289586366766,0.35,0.8,0.0,0.0,0.0
030299,"Activities related to hh child's education, n.e.c.*",post,0.05228531074539,0.06702426977982001,5.5,8108.5,0.598,2.6614289586366766,0.35,0.8,1.0,0.598,2.6614289586366766
030299,"Activities related to hh child's education, n.e.c.*",pre,0.06839210387104601,0.083915855474684,7.8,9294.8,0.598,2.6614289586366766,0.35,0.8,0.0,0.0,0.0
030301,Providing medical care to hh children,post,0.26480992277277504,0.31641709663386497,25.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030301,Providing medical care to hh children,pre,0.43644002585483593,0.518342880424336,48.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030302,Obtaining medical care for hh children,post,0.45849055260499,0.331953760934465,27.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030302,Obtaining medical care for hh children,pre,0.319495163312406,0.28291930584464803,26.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030303,Waiting associated with hh children's health,post,0.23029030357443497,0.16865861398126503,13.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030303,Waiting associated with hh children's health,pre,0.14341751595556,0.15228379276164,14.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030399,"Activities related to hh child's health, n.e.c.*",post,0.011817318925115,0.006519754857215,0.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030399,"Activities related to hh child's health, n.e.c.*",pre,0.026418375288847197,0.025857308309389815,2.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030401,Physical care for hh adults,post,1.32010613543185,1.3923421589315401,113.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030401,Physical care for hh adults,pre,1.5345042721027577,1.2956766913397,120.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030402,Looking after hh adult (as a primary activity),post,0.16290845574104998,0.165306447088725,13.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030402,Looking after hh adult (as a primary activity),pre,0.17458643208462202,0.154379999308762,14.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030403,Providing medical care to hh adult,post,0.51802626007402,0.6209509713824499,50.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030403,Providing medical care to hh adult,pre,0.629080007531224,0.497621004979692,46.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030404,Obtaining medical and care services for hh adult,post,0.313986156121085,0.31123820853367,25.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030404,Obtaining medical and care services for hh adult,pre,0.292241713402858,0.194692391627926,18.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030405,Waiting associated with caring for household adults,post,0.18852741323601002,0.19004459976057497,15.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030405,Waiting associated with caring for household adults,pre,0.230677754265416,0.167765169227264,15.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030499,"Caring for household adults, n.e.c.*",post,0.055948268651565,0.06251581505813,5.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030499,"Caring for household adults, n.e.c.*",pre,0.07085299690939799,0.05183395631740399,4.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030501,Helping hh adults,post,0.32728252860086504,0.241532205239805,19.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030501,Helping hh adults,pre,0.276296525913598,0.21036866827892,19.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030502,Organization & planning for hh adults,post,0.219174300885905,0.19339676665312,15.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030502,Organization & planning for hh adults,pre,0.196632992271944,0.162383215474612,15.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030503,Picking up/dropping off hh adult,post,1.73258325872165,1.408063402160015,114.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030503,Picking up/dropping off hh adult,pre,1.8340145429074142,1.46591365654362,137.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030504,Waiting associated with helping hh adults,post,1.1322058226595,0.9888556734955549,80.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030504,Waiting associated with helping hh adults,pre,1.529106770247306,1.2311332809019961,116.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030599,"Helping household adults, n.e.c.*",post,0.115574382178735,0.08457223421594501,7.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030599,"Helping household adults, n.e.c.*",pre,0.07396434007879801,0.061636314704592,5.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
039999,"Caring for & helping hh members, n.e.c.*",post,0.01735194022352,0.01821839781463,1.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
039999,"Caring for & helping hh members, n.e.c.*",pre,0.009312845382373999,0.010656453431024,1.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
040101,Physical care for nonhh children,post,0.881199689930925,0.932189179916125,75.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
040101,Physical care for nonhh children,pre,0.900021471305714,0.975089051930226,90.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
040102,Reading to/with nonhh children,post,0.11377665072735998,0.143250027930905,11.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
040102,Reading to/with nonhh children,pre,0.146718558020316,0.180427938032486,16.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
040103,"Playing with nonhh children, not sports",post,0.898139229154105,1.09950692714038,89.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
040103,"Playing with nonhh children, not sports",pre,1.121139473624934,1.202048914056898,112.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
040104,Arts and crafts with nonhh children,post,0.036538228153115,0.04813543858668,4.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
040104,Arts and crafts with nonhh children,pre,0.045903045949492,0.054533796138916,5.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
040105,Playing sports with nonhh children,post,0.0508371062796552,0.070862291123005,6.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
040105,Playing sports with nonhh children,pre,0.05802174677042153,0.058549641575478,5.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
